编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T197-01,缩泉丸（胶囊）,SQWJN,CHINESE_PATENT,OTHER,每 20 粒重 1g,丸,1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T197-02,缩泉丸（胶囊）,SQWJN,CHINESE_PATENT,CAPSULE,每粒装 0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T198-01,消炎利胆片（颗粒、胶囊）,XYLDPKLJN,CHINESE_PATENT,TABLET,每片重 0.24g,片,0.24,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T198-02,消炎利胆片（颗粒、胶囊）,XYLDPKLJN,CHINESE_PATENT,TABLET,每片重 0.25g （相当于饮片 2.6g）,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T198-03,消炎利胆片（颗粒、胶囊）,XYLDPKLJN,CHINESE_PATENT,TABLET,每片重 0.26g（相当于饮片 2.6g）颗粒剂：每袋装 2.5g,片,0.26,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T198-04,消炎利胆片（颗粒、胶囊）,XYLDPKLJN,CHINESE_PATENT,CAPSULE,每粒装 0.45g,粒,0.45,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T199,金钱胆通颗粒,JQDTKL,CHINESE_PATENT,GRANULE,每 1g 相当于饮片3.56g,袋,1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T200-01,银屑胶囊（颗粒）,YXJNKL,CHINESE_PATENT,CAPSULE,每粒装 0.45g（相当于饮片 6.75g）,粒,0.45,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T200-02,银屑胶囊（颗粒）,YXJNKL,CHINESE_PATENT,GRANULE,每袋装 6g（相当于饮片27g）,袋,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T200-03,银屑胶囊（颗粒）,YXJNKL,CHINESE_PATENT,GRANULE,每袋装 15g（相当于原药材 27g）,袋,15,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
