编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W361-03,环磷酰胺注射用无菌粉末,Cyclophosphamide,WESTERN,INJECTION,200mg,支,200,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W361-04,环磷酰胺注射用无菌粉末,Cyclophosphamide,WESTERN,INJECTION,500mg,支,500,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W362-01,异环磷酰胺注射用无菌粉末,Ifosfamide,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W362-02,异环磷酰胺注射用无菌粉末,Ifosfamide,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W363-01,白消安片,Busulfan,WESTERN,TABLET,0.5mg,片,0.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W363-02,白消安片,Busulfan,WESTERN,TABLET,2mg,片,2,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W363-03,白消安注射液,Busulfan,WESTERN,INJECTION,10ml ∶60mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W364-01,替莫唑胺胶囊,Temozolomide,WESTERN,CAPSULE,20mg,粒,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W364-02,替莫唑胺胶囊,Temozolomide,WESTERN,CAPSULE,100mg,粒,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W364-03,替莫唑胺注射用无菌粉末,Temozolomide,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W365-01,甲氨蝶呤片,Methotrexate,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W365-02,甲氨蝶呤注射液,Methotrexate,WESTERN,INJECTION,2ml ∶50mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W365-03,甲氨蝶呤注射液,Methotrexate,WESTERN,INJECTION,10ml ∶1g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W365-04,甲氨蝶呤注射用无菌粉末,Methotrexate,WESTERN,INJECTION,5mg,支,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W365-05,甲氨蝶呤注射用无菌粉末,Methotrexate,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W366-01,培美曲塞注射用无菌粉末,Pemetrexed,WESTERN,INJECTION,0.1g,支,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W366-02,培美曲塞注射用无菌粉末,Pemetrexed,WESTERN,INJECTION,0.2g,支,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W366-03,培美曲塞注射用无菌粉末,Pemetrexed,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W367-01,巯嘌呤片,Mercaptopurine,WESTERN,TABLET,25mg,片,25,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W367-02,巯嘌呤片,Mercaptopurine,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W368-01,阿糖胞苷注射用无菌粉末,Cytarabine,WESTERN,INJECTION,50mg,支,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W368-02,阿糖胞苷注射用无菌粉末,Cytarabine,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W368-03,阿糖胞苷注射用无菌粉末,Cytarabine,WESTERN,INJECTION,500mg,支,500,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W369,羟基脲片,Hydroxycarbamide,WESTERN,TABLET,0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W370-01,氟尿嘧啶注射液,Fluorouracil,WESTERN,INJECTION,10ml ∶0.25g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W370-02,氟尿嘧啶注射液,Fluorouracil,WESTERN,INJECTION,10ml ∶0.5g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W371-01,吉西他滨注射用无菌粉末,Gemcitabine,WESTERN,INJECTION,0.2g,支,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W371-02,吉西他滨注射用无菌粉末,Gemcitabine,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W372-01,依托泊苷注射液,Etoposide,WESTERN,INJECTION,2ml ∶40mg,支,2,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IM,QD,否,是,ACTIVE
MED-2026-W372-02,依托泊苷注射液,Etoposide,WESTERN,INJECTION,5ml ∶100mg,支,5,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IM,QD,否,是,ACTIVE
MED-2026-W373,多柔比星注射用无菌粉末,Doxorubicin,WESTERN,INJECTION,10mg,支,10,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W374,柔红霉素注射用无菌粉末,Daunorubicin,WESTERN,INJECTION,20mg,支,20,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W375-01,平阳霉素注射用无菌粉末,BleomycinA5,WESTERN,INJECTION,4mg,支,4,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W375-02,平阳霉素注射用无菌粉末,BleomycinA5,WESTERN,INJECTION,8mg,支,8,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W376-01,长春新碱注射液,Vincristine,WESTERN,INJECTION,1ml ∶1mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W376-02,长春新碱注射用无菌粉末,Vincristine,WESTERN,INJECTION,1mg,支,1,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W377-01,紫杉醇注射液,Paclitaxel,WESTERN,INJECTION,5ml ∶30mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W377-02,紫杉醇注射液,Paclitaxel,WESTERN,INJECTION,10ml ∶60mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W377-03,紫杉醇注射用无菌粉末,Paclitaxel,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W378-01,高三尖杉酯碱注射液,Homoharringtonine,WESTERN,INJECTION,1ml ∶1mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W378-02,高三尖杉酯碱注射液,Homoharringtonine,WESTERN,INJECTION,2ml ∶2mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W379,他莫昔芬片,Tamoxifen,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W380,来曲唑片,Letrozole,WESTERN,TABLET,2.5mg,片,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W381-01,顺铂注射液,Cisplatin,WESTERN,INJECTION,1mg/ml,支,1,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W381-02,顺铂注射液,Cisplatin,WESTERN,INJECTION,5mg/ml,支,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W381-03,顺铂注射用无菌粉末,Cisplatin,WESTERN,INJECTION,10mg,支,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W381-04,顺铂注射用无菌粉末,Cisplatin,WESTERN,INJECTION,20mg,支,20,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W381-05,顺铂注射用无菌粉末,Cisplatin,WESTERN,INJECTION,30mg,支,30,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W382-01,奥沙利铂注射液,Oxaliplatin,WESTERN,INJECTION,10ml ∶50mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W382-02,奥沙利铂注射用无菌粉末,Oxaliplatin,WESTERN,INJECTION,50mg,支,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W382-03,奥沙利铂注射用无菌粉末,Oxaliplatin,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W383-01,卡铂注射液,Carboplatin,WESTERN,INJECTION,10ml ∶100mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W383-02,卡铂注射用无菌粉末,Carboplatin,WESTERN,INJECTION,50mg,支,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W383-03,卡铂注射用无菌粉末,Carboplatin,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W384-01,三氧化二砷注射液,Arsenic Trioxide (Arsenious Acid),WESTERN,INJECTION,5ml ∶5mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W384-02,三氧化二砷注射液,Arsenic Trioxide (Arsenious Acid),WESTERN,INJECTION,10ml ∶10mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W384-03,三氧化二砷注射用无菌粉末,Arsenic Trioxide (Arsenious Acid),WESTERN,INJECTION,5mg,支,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W384-04,三氧化二砷注射用无菌粉末,Arsenic Trioxide (Arsenious Acid),WESTERN,INJECTION,10mg,支,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W385-01,门冬酰胺酶注射用无菌粉末,Asparaginase,WESTERN,INJECTION,5000 单位,支,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W385-02,门冬酰胺酶注射用无菌粉末,Asparaginase,WESTERN,INJECTION,10000 单位,支,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W386-01,亚叶酸钙注射液,Calcium Folinate,WESTERN,INJECTION,10ml ∶100mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W386-02,亚叶酸钙注射用无菌粉末,Calcium Folinate,WESTERN,INJECTION,3mg,支,3,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W386-03,亚叶酸钙注射用无菌粉末,Calcium Folinate,WESTERN,INJECTION,25mg,支,25,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W386-04,亚叶酸钙注射用无菌粉末,Calcium Folinate,WESTERN,INJECTION,50mg,支,50,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W386-05,亚叶酸钙注射用无菌粉末,Calcium Folinate,WESTERN,INJECTION,100mg,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W387,维A酸片,Tretinoin,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W388-01,卡培他滨片,Capecitabine,WESTERN,TABLET,0.15g,片,0.15,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W388-02,卡培他滨片,Capecitabine,WESTERN,TABLET,0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W389-01,硼替佐米注射用无菌粉末,Bortezomib,WESTERN,INJECTION,1mg,支,1,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W389-02,硼替佐米注射用无菌粉末,Bortezomib,WESTERN,INJECTION,2.5mg,支,2.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W389-03,硼替佐米注射用无菌粉末,Bortezomib,WESTERN,INJECTION,3.5mg,支,3.5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W390-01,美司钠注射液,Mesna,WESTERN,INJECTION,2ml ∶0.2g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W390-02,美司钠注射液,Mesna,WESTERN,INJECTION,4ml ∶0.4g,支,4,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W391,吉非替尼片,Gefitinib,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W392-01,伊马替尼片,Imatinib,WESTERN,TABLET,0.1g,片,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W392-02,伊马替尼片,Imatinib,WESTERN,TABLET,0.4g,片,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W392-03,伊马替尼胶囊,Imatinib,WESTERN,CAPSULE,0.05g,粒,0.05,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W392-04,伊马替尼胶囊,Imatinib,WESTERN,CAPSULE,0.1g,粒,0.1,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W393,埃克替尼片,Icotinib,WESTERN,TABLET,125mg,片,125,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W394-01,奥希替尼片,Osimertinib,WESTERN,TABLET,40mg,片,40,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W394-02,奥希替尼片,Osimertinib,WESTERN,TABLET,80mg,片,80,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W395-01,利妥昔单抗注射液,Rituximab,WESTERN,INJECTION,100mg/10ml,支,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W395-02,利妥昔单抗注射液,Rituximab,WESTERN,INJECTION,500mg/50ml,支,500,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W396-01,曲妥珠单抗注射用无菌粉末,Trastuzumab,WESTERN,INJECTION,60mg,支,60,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W396-02,曲妥珠单抗注射用无菌粉末,Trastuzumab,WESTERN,INJECTION,150mg,支,150,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W396-03,曲妥珠单抗注射用无菌粉末,Trastuzumab,WESTERN,INJECTION,440mg,支,440,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W397-01,贝伐珠单抗注射液,Bevacizumab,WESTERN,INJECTION,4ml ∶100mg,支,4,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W397-02,贝伐珠单抗注射液,Bevacizumab,WESTERN,INJECTION,16ml ∶400mg,支,16,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W398-01,奥拉帕利片,Olaparib,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W398-02,奥拉帕利片,Olaparib,WESTERN,TABLET,150mg,片,150,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W399-01,维生素注射液,B1 Vitamin B1,WESTERN,INJECTION,2ml ∶50mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W399-02,维生素注射液,B1 Vitamin B1,WESTERN,INJECTION,2ml ∶100mg,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W400-01,维生素片,B2 Vitamin B2,WESTERN,TABLET,5mg,片,5,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W400-02,维生素片,B2 Vitamin B2,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W401-01,维生素片,B6 Vitamin B6,WESTERN,TABLET,10mg,片,10,mg,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W401-02,维生素注射液,B6 Vitamin B6,WESTERN,INJECTION,1ml ∶50mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W401-03,维生素注射液,B6 Vitamin B6,WESTERN,INJECTION,2ml ∶0.1g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W402-01,维生素注射液,C Vitamin C,WESTERN,INJECTION,2ml ∶0.5g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W402-02,维生素注射液,C Vitamin C,WESTERN,INJECTION,5ml ∶1g,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W403,多种维生素注射用无菌粉末,Multivitamin (12),WESTERN,INJECTION,常规说明书规格,支,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W404-01,葡萄糖酸钙片,Calcium Gluconate,WESTERN,TABLET,0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W404-02,葡萄糖酸钙注射液,Calcium Gluconate,WESTERN,INJECTION,10ml ∶1g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W405,复合磷酸氢钾注射液,Composite Potassium Hydrogen Phosphate,WESTERN,INJECTION,2ml（磷酸二氢钾 0.4354g与磷酸氢二钾 0.639g）,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W406-01,复方氨基酸 18AA注射液,Compound Amino Acid 18AA,WESTERN,INJECTION,200ml ∶12.25g（总氨基酸）,支,200,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W406-02,复方氨基酸 18AA注射液,Compound Amino Acid 18AA,WESTERN,INJECTION,200ml ∶20.65g（总氨基酸）,支,200,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W406-03,复方氨基酸 18AA注射液,Compound Amino Acid 18AA,WESTERN,INJECTION,250ml ∶12.5g（总氨基酸）,支,250,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W406-04,复方氨基酸 18AA小儿复方氨基酸注射液（ 18AA- Ⅰ),Compound Amino Acid 18AA,WESTERN,INJECTION,20ml ∶1.348g（总氨基酸）小儿复方氨基酸注射液（18AA- Ⅱ)： 50ml ∶3.0g（总氨基酸）,支,20,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W407-01,脂肪乳氨基酸葡萄糖注射液,"Fat Emulsion, Amino Acids and Glucose",WESTERN,INJECTION,1440ml（20% 脂肪乳注射液 255ml；复方氨基酸注射液（17）300ml； 11% 葡萄糖注射液 885ml）,支,1440,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W407-02,脂肪乳氨基酸葡萄糖注射液,"Fat Emulsion, Amino Acids and Glucose",WESTERN,INJECTION,1920ml（20% 脂肪乳注射液 340ml；复方氨基酸注射液（17）400ml； 11% 葡萄糖注射液 1180ml）,支,1920,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W408-01,中/ 长链脂肪乳注射液,Medium and Long Chain Fat Emulsion,WESTERN,INJECTION,250ml（大豆油 12.5g；中链甘油三酸酯 12.5g）,支,250,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W408-02,中/ 长链脂肪乳注射液,Medium and Long Chain Fat Emulsion,WESTERN,INJECTION,250ml（大豆油 25g；中链甘油三酸酯 25g；卵磷脂 3g）,支,250,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IM,BID,否,是,ACTIVE
MED-2026-W409,整蛋白型肠内营养剂（粉剂）,Intact Protein Enteral Nutrition Powder,WESTERN,POWDER,320g/ 听,袋,320,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W410,口服补液盐散剂(Ⅰ、Ⅱ、Ⅲ),Oral Rehydration Salts,WESTERN,POWDER,常规说明书规格,袋,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,BID,否,是,ACTIVE
MED-2026-W411-01,氯化钠注射液,Sodium Chloride,WESTERN,INJECTION,0.9%（10ml、50ml、100ml、 250ml、500ml、1000ml）,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W411-02,氯化钠注射液,Sodium Chloride,WESTERN,INJECTION,10%（10ml、100ml）,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W412-01,葡萄糖注射液,Glucose,WESTERN,INJECTION,5%（100ml、200ml、250ml、 500ml 、1000ml）,支,100,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W412-02,葡萄糖注射液,Glucose,WESTERN,INJECTION,10%（100ml 、 200ml 、250ml 、500ml 、1000ml）,支,100,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,IVGTT,BID,否,是,ACTIVE
