编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T134-02,大黄䗪虫丸（片、胶囊）（片剂）,DHCWPJN,CHINESE_PATENT,TABLET,每片重 0.52g,片,0.52,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T134-03,大黄䗪虫丸（片、胶囊）,DHCWPJN,CHINESE_PATENT,CAPSULE,每粒装 0.4g,粒,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T135-01,血府逐瘀丸（片、口服液、胶囊）（丸剂）,XFZYWPKFYJN,CHINESE_PATENT,OTHER,每丸重 9g，每 10 丸重 2g，每 60 粒重 6g,丸,9,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T135-02,血府逐瘀丸（片、口服液、胶囊）（片剂）,XFZYWPKFYJN,CHINESE_PATENT,TABLET,每片重 0.4g 、0.42g （相当于饮片 0.74g）、0.45g合剂：每支装 10ml,片,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T135-03,血府逐瘀丸（片、口服液、胶囊）,XFZYWPKFYJN,CHINESE_PATENT,CAPSULE,每粒装 0.4g,粒,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T136-01,复方丹参片（颗粒、胶囊、滴丸）（片剂）,FFDSPKLJNDW,CHINESE_PATENT,TABLET,每片重 0.3g 、0.32g （相当于饮片 0.6g）、0.8g（相当于饮片 1.8g）颗粒剂：每袋装 1g,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T136-02,复方丹参片（颗粒、胶囊、滴丸）,FFDSPKLJNDW,CHINESE_PATENT,CAPSULE,每粒装 0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T136-03,复方丹参片（颗粒、胶囊、滴丸）（滴丸剂）,FFDSPKLJNDW,CHINESE_PATENT,DROPS,薄膜衣滴丸每丸重 27mg,瓶,27,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T137,速效救心丸滴丸剂,SXJXW,CHINESE_PATENT,DROPS,每丸重 40mg,瓶,40,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T138-01,心可舒胶囊（片）,XKSJNP,CHINESE_PATENT,CAPSULE,每粒装 0.3g（相当于饮片 1.175g）,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T138-02,心可舒胶囊（片）（片剂）,XKSJNP,CHINESE_PATENT,TABLET,每片重 0.31g、0.62g,片,0.31,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T139,脉络宁注射液,MLNZSY,CHINESE_PATENT,INJECTION,每支装 10ml,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,TID,否,是,ACTIVE
MED-2026-T140-01,平消胶囊（片）,PXJNP,CHINESE_PATENT,CAPSULE,每粒装 0.23g,粒,0.23,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T140-02,平消胶囊（片）（片剂）,PXJNP,CHINESE_PATENT,TABLET,每片重 0.23g、0.24g （相当于饮片 0.405g）,片,0.23,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T141-01,华蟾素片（胶囊）（片剂）,HCSPJN,CHINESE_PATENT,TABLET,每片重 0.3g,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
