标准品种ID,旧目录编码,名称,英文名称,药品类型,条目类型,原文规格,专科指导,来源位置,来源版本,审核状态
GEN-39C29E1D9C8EBAF398AAD009,MED-2026-T179,正清风痛宁缓释片(片、肠溶片),,CHINESE_PATENT,MEDICATION,"缓释片：每片含盐酸青藤碱 60mg
片剂：每片含盐酸青藤碱20mg
肠溶片：每片含盐酸青藤碱 20mg",False,table:118/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-0BB9C0AF9773515D54BBF246,MED-2026-T180,雷公藤多苷片,,CHINESE_PATENT,MEDICATION,片剂： 10mg,True,table:118/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-A38D91B0B1E4A74C87A9E5CC,MED-2026-T181,五苓散(胶囊、片),,CHINESE_PATENT,MEDICATION,"散剂：每袋装 6g 、9g
胶囊：每粒装 0.45g
片剂：每片重 0.35g",False,table:118/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3CE626E8C6DBACEEB4ADFC64,MED-2026-T182,肾炎康复片,,CHINESE_PATENT,MEDICATION,片剂：每片重 0.3g 、0.48g,False,table:118/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-A8202D239EA370A2965A363C,MED-2026-T183,尿毒清颗粒,,CHINESE_PATENT,MEDICATION,颗粒剂：每袋装 5g,True,table:118/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-CA1FB8FB02715CADBB6784D5,MED-2026-T184,黄葵胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.43g（相当于饮片 2g）,False,table:118/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-1A3A99E92B539D17FCEE91F6,MED-2026-T185,癃清片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.6g
胶囊：每粒装 0.4g 、0.5g",False,table:118/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-5CBBBD03C501B90344550139,MED-2026-T186,三金片,,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.17g（相当于饮片2.1g）、0.18g（相当
于饮片2.1g）、0.28g（相当于饮片 3.5g）、0.32g（相当于饮片 3.5g）",False,table:119/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-7C28ECB0CE72A9E4C70C7A04,MED-2026-T187,银花泌炎灵片,,CHINESE_PATENT,MEDICATION,片剂：每片重 0.25g 、0.5g,False,table:119/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-118870F981F2215D3B160A3F,MED-2026-T188,癃闭舒胶囊(片),,CHINESE_PATENT,MEDICATION,"胶囊：每粒装 0.3g 、0.45g
片剂：每片重 0.3g 、0.31g",False,table:119/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-ABB54C9242B281E3E5D98F87,MED-2026-T189,海昆肾喜胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.22g（含褐藻多糖硫酸酯 100mg）,False,table:119/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8028028174B5765C0818498A,MED-2026-T190,尿通卡克乃其片,,CHINESE_PATENT,MEDICATION,片剂：每片重 0.5g,False,table:119/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-F1283A6DF59B93D70D128215,MED-2026-T191,尪痹颗粒(胶囊、片),,CHINESE_PATENT,MEDICATION,"颗粒剂：每袋装 3g 、6g
胶囊：每粒 0.55g
片剂：每片重 0.25g 、0.5g",False,table:119/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B39FDABA61F1677A19644B2E,MED-2026-T192,风湿液,,CHINESE_PATENT,MEDICATION,酒剂：每瓶装10ml、100ml、 250ml,False,table:119/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-94D9EA32D1EBC1CF3D3B1C21,MED-2026-T193,普乐安胶囊(片),,CHINESE_PATENT,MEDICATION,"胶囊：每粒装 0.375g
片剂：每片重 0.57g（含油菜花粉 0.5g）、0.64g（含油菜花粉 0.5g）",False,table:119/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-E0B6881CEE0F49E9A8D0DB20,MED-2026-T194,克痢痧胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.28g,False,table:119/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-BA6F6D521515E52818536455,MED-2026-T195,血脂康胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.3g,False,table:120/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-766333BABCD3986FAB4E31C3,MED-2026-T196,荷丹片(胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.73g（相当于饮片 14.125g）
胶囊：每粒装 0.33g（相当于饮片 7.06g）",False,table:120/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
